result #,search engine,query,article title,article url,article description,total nr of results (best guess),
15,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s emotional speech to EU leaders - YouTube,https://www.youtube.com/watch?v=FWsM9-_zrKo,A sometimes tearful Greta Thunberg criticised EU leaders in Strasbourg for not taking the threat posed by climate change seriously enough. The 16-year-old ...,150,
17,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
18,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://sv.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg har också uppmanat vuxenvärlden att stå upp bakom forskningen,,
19,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
22,duckduckgo,Greta Thunberg,Greta Thunberg - latest news,,,,
23,duckduckgo,Greta Thunberg,Greta Thunberg: The disarming case to act right now on climate change ...,https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate,In this passionate call to action,,
24,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://no.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (født 3. januar 2003 i Stockholm) er en svensk klimaaktivist og skoleelev som ble kjent i august 2018 da hun satt utenfor ...,150,
25,duckduckgo,Greta Thunberg,Greta Thunbergová - Wikipedie,https://cs.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunbergová,,
26,duckduckgo,Greta Thunberg,Greta Thunberg Age,,,," is a Swedish actor.""	150"
27,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,,,,
28,duckduckgo,Greta Thunberg,Self-Harm Versus the Greater Good: Greta Thunberg and Child Activism ...,https://quillette.com/2019/04/23/self-harm-versus-the-greater-good-greta-thunberg-and-child-activism/,Consequently,,
30,duckduckgo,Greta Thunberg,25 of Greta Thunberg&#x27;s Best Quotes - Climate Change,https://www.curious.earth/blog/greta-thunberg-quotes-best-21,Greta Thunberg is a 16-year old climate activist from Sweden. A school girl with autism,,
31,duckduckgo,Greta Thunberg,Greta Thunberg - Simple English Wikipedia,,,,
32,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
34,duckduckgo,Greta Thunberg,Greta Thunberg - BBC News,https://www.bbc.com/news/topics/cwmrxq94v1jt/greta-thunberg,Two former youth campaigners talk to us about their activism and Greta Thunberg. Many people will have heard the speech given by the young climate change activist,,
36,duckduckgo,Greta Thunberg,George Soros is backing Greta Thunberg | Free West Media,https://freewestmedia.com/2019/04/24/george-soros-is-backing-greta-thunberg/,Greta Thunberg has become world renowned because of her fight against climate change and lower temperatures on Earth. It all started in 2018 when she began a school strike on her own,,
38,duckduckgo,Greta Thunberg,Who&#x27;s REALLY behind 16-year-old Greta Thunberg? | Daily Mail Online,https://www.dailymail.co.uk/news/article-6946815/Whos-REALLY-16-year-old-Greta-Thunberg.html,Who&#x27;s REALLY behind 16-year-old Greta Thunberg? Ugly feud between her opera singer-turned-climate-activist mother and the green PR man who she accuses of exploiting her. Greta Thunberg spoke to Existence Rebellion protesters in London,,
39,duckduckgo,Greta Thunberg,Greta Thunberg | Steckbrief,,,,
40,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://fi.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (s. 3. tammikuuta 2003 Tukholma,,
42,duckduckgo,Greta Thunberg,FridaysForFuture,https://www.fridaysforfuture.org/,Greta requests that people strike infront of their closest town hall,,
43,duckduckgo,Greta Thunberg,Greta Thunberg - Wikiquote,https://en.wikiquote.org/wiki/Greta_Thunberg,Naomi Klein in Greta Thunberg on the Climate Fight: If We Can Save the Banks,,
44,duckduckgo,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Why is Greta Thunberg so triggering? How can a 16-year-old girl in plaits,,
45,duckduckgo,Greta Thunberg,Greta Thunberg: How one teenager became the voice of the planet | WIRED UK,https://www.wired.co.uk/article/greta-thunberg-climate-crisis,When Greta Thunberg first downloaded Instagram in June 2018,,
46,duckduckgo,Greta Thunberg,Greta Thunberg: Marionette des linken Mainstreams - Jürgen Fritz Blog,https://juergenfritz.com/2019/03/01/greta-thunberg-marionette/,(Stefan Groß,,
47,duckduckgo,Greta Thunberg,Greta Thunberg — Wikipédia,https://fr.m.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg /² ɡ r e ː t a ² t ʉ ː n b æ r j / [a] Écouter,,
48,duckduckgo,Greta Thunberg,Climate Activist Greta Thunberg and &quot;The Greta Effect&quot;,https://interestingengineering.com/swedish-climate-activist-greta-thunberg-and-the-greta-thunberg-effect,The &quot;Greta Thunberg Effect&quot; On March 13,,
49,duckduckgo,Greta Thunberg,George Soros is backing &#x27;climate activist&#x27; Greta Thunberg | Europe Reloaded,https://www.europereloaded.com/george-soros-is-backing-climate-activist-greta-thunberg/,Greta Thunberg is now 16-years old and the daughter of famous opera singer and left-liberal activist Marlena Ernman (pictured above),,
50,duckduckgo,Greta Thunberg,Why Greta Thunberg doesn&#x27;t deserve a Nobel - spiked,https://www.spiked-online.com/2019/03/22/why-greta-thunberg-doesnt-deserve-a-nobel/,Greta Thunberg - the stern 16-year-old voice and face of the recent school climate-strike movement - has been nominated for the Nobel Peace Prize. Thunberg first made headlines when she skipped school on 20 August last year in her hometown in Sweden to protest outside parliament,,
51,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.m.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (IPA: [ˈgreːta ˈtʉːnˌbærj]; Stoccolma,,
52,duckduckgo,Greta Thunberg,Greta Thunberg arrives in New York after 15-day yacht journey - CNN,https://www.cnn.com/2019/08/28/us/greta-thunberg-new-york-landfall-scli-intl/index.html,Aug-28,,
53,duckduckgo,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,
54,duckduckgo,Greta Thunberg,Greta Thunberg: Aktuelle News der FAZ zur Umweltaktivistin,https://www.faz.net/aktuell/politik/thema/greta-thunberg,Greta Thunberg „Ich nehme an,,
55,duckduckgo,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/?epa=SEARCH_BOX,Greta Thunberg. 2,,
56,duckduckgo,Greta Thunberg,Greta Thunberg Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567758/greta-thunberg/,Greta Thunberg saw her power in us,,
57,duckduckgo,Greta Thunberg,Greta Thunberg T-Shirts | Redbubble,https://www.redbubble.com/shop/greta+thunberg+t-shirts,High quality Greta Thunberg inspired T-Shirts by independent artists and designers from around the world.All orders are custom made and most ship worldwide within 24 ...,150,
58,duckduckgo,Greta Thunberg,Let them sail yachts: Why Greta Thunberg and the environmental elite ...,https://www.rt.com/news/465501-greta-thunberg-hates-you/,Swedish climate activist Greta Thunberg will sail across the Atlantic by boat to attend two climate conferences. But the teenager&#x27;s carbon-neutral odyssey reveals the disregard - even contempt - the elite have for the rest of us.,150,
59,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Best Quotes | Eco-Age,https://eco-age.com/news/greta-thunbergs-best-quotes,In just 12 months,,
60,duckduckgo,Greta Thunberg,The Manufacturing of Greta Thunberg - wrongkindofgreen.org,http://www.wrongkindofgreen.org/2019/01/17/the-manufacturing-of-greta-thunberg-for-consent-the-political-economy-of-the-non-profit-industrial-complex/,&quot;The Manufacturing of Greta Thunberg For Consent,,
61,duckduckgo,Greta Thunberg,Greta Thunberg will sail across the Atlantic on a zero-emissions yacht ...,https://www.cnn.com/2019/07/29/europe/greta-thunberg-sailboat-scli-intl/index.html,Jul-29,,
62,duckduckgo,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,But nothing is impossible for Thunberg,,
63,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://www.en.wikipedia.org/wiki/Make_the_World_Greta_Again,&quot;Greta Thunberg effect&quot; Thunberg has inspired a number of her school-aged peers in what has been described as the &quot;Greta Thunberg effect&quot;. In response to her outspoken stance,,
64,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,https://hu.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (2003. január 3. -) svéd diáklány,,
66,duckduckgo,Greta Thunberg,Greta Thunberg,,,," they accept it as fact.""	150"
67,duckduckgo,Greta Thunberg,The cult of Greta Thunberg - spiked-online.com,https://www.spiked-online.com/2019/04/22/the-cult-of-greta-thunberg/,Anyone who doubts that the green movement is morphing into a millenarian cult should take a close look at Greta Thunberg. This poor young woman increasingly looks and sounds like a cult member. The monotone voice. The look of apocalyptic dread in her eyes. The explicit talk of the coming great &#x27;fire&#x27; that will punish us for our eco-sins.,150,
68,duckduckgo,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing journey to ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,Aug-15,,
69,duckduckgo,Greta Thunberg,Greta Thunberg Quotes,https://www.quotes.net/authors/Greta+Thunberg,Greta Thunberg. Greta Thunberg (born 3 January 2003) is a Swedish climate activist. She is known for striking outside the Swedish parliament building to raise climate change activism. Update this biography » Complete biography of Greta Thunberg »,150,
70,duckduckgo,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Adolescent climate change protester Greta Thunberg has stage parents,,
71,duckduckgo,Greta Thunberg,My name is Matilda Olofsson and I am Greta Thunberg&#x27;s arch-nemesis ...,https://spectator.us/matilda-olofsson-greta-thunberg/,Greta Thunberg first came to my attention one Friday after I had spent the final hour of school putting cling-film over every toilet seat so that the following Monday,,
73,duckduckgo,Greta Thunberg,Greta Thunberg: Climate change activist interviewed by The Daily Show&#x27;s ...,https://www.indy100.com/article/greta-thunberg-trevor-noah-climate-change-interview-watch-video-9106256,Climate change activist,,
74,duckduckgo,Greta Thunberg,Greta Thunberg: Five things Greta said during her US climate change ...,https://www.bbc.co.uk/newsround/49741995,Teenage climate activist Greta Thunberg has had some strong words for politicians in the United States. On Tuesday,,
76,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
77,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
79,duckduckgo,Greta Thunberg,Greta Thunberg nominated for Nobel Peace Prize for climate activism ...,https://www.bbc.com/news/world-europe-47568227,Greta Thunberg,,
80,duckduckgo,Greta Thunberg,Greta Thunberg Covers British Vogue&#x27;s September 2019 Issue - vogue.co.uk,https://www.vogue.co.uk/article/greta-thunberg-vogue-september-2019-issue-cover,Her face,,
81,duckduckgo,Greta Thunberg,Greta Thunberg Is Coming to Speak at the U.N. — by Sailboat,https://www.thecut.com/2019/07/greta-thunberg-sailboat-atlantic-ocean.html,— Greta Thunberg (@GretaThunberg) July 29,,
82,duckduckgo,Greta Thunberg,Greta Thunberg: &#x27;To do your best is no longer good enough&#x27;,https://www.gq-magazine.co.uk/men-of-the-year/article/greta-thunberg-interview,The story of Greta Thunberg,,
84,duckduckgo,Greta Thunberg,The cult of Greta Thunberg | Watts Up With That?,https://wattsupwiththat.com/2019/04/22/the-cult-of-greta-thunberg/,Greta Thunberg in front of the Swedish parliament in Stockholm,,
85,duckduckgo,Greta Thunberg,Greta Thunberg - Startseite | Facebook,https://de-de.facebook.com/gretathunbergsweden/,Greta Thunberg. Gefällt 2.426.592 Mal · 716.801 Personen sprechen darüber. 16 year old climate and environmental activist with Asperger&#x27;s #fridaysforfuture,150,
86,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Transatlantic Sailing Trip Is Seriously Carbon-Neutral ...,https://cleantechnica.com/2019/08/22/greta-thunbergs-transatlantic-sailing-trip-is-seriously-carbon-neutral/,UN Secretary-General António Guterres meets with Greta Thunberg,,
87,duckduckgo,Greta Thunberg,Greta Thunberg has collected funds for Antifa-supporting organisation ...,https://voiceofeurope.com/2019/07/greta-thunberg-has-collected-funds-for-antifa-supporting-organisation/,The Swedish climate oracle,,
88,duckduckgo,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries on Friday ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,&quot;I look forward to welcoming young leaders like Greta Thunberg,,
89,duckduckgo,Greta Thunberg,Greta Thunberg: Why I began the climate protests that are going global ...,https://www.newscientist.com/article/mg24132213-400-greta-thunberg-why-i-began-the-climate-protests-that-are-going-global/,The roots of this phenomenon run back to Greta Thunberg,,
90,duckduckgo,Greta Thunberg,Greta Thunberg Gifts &amp; Merchandise | Redbubble,https://www.redbubble.com/shop/greta+thunberg,High quality Greta Thunberg inspired T-Shirts,,
91,duckduckgo,Greta Thunberg,How green is Greta Thunberg&#x27;s transatlantic trip? | UK News | Sky News,https://news.sky.com/story/greta-thunberg-is-her-transatlantic-trip-really-that-green-11784480,Greta Thunberg has set sail for New York,,
92,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
94,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
95,duckduckgo,Greta Thunberg,Greta Thunberg to sail to New York climate summit in racing yacht,https://www.climatechangenews.com/2019/07/29/greta-thunberg-sail-new-york-climate-summit-racing-yacht/,Greta Thunberg will sail across the Atlantic in the middle of hurricane season next month,,
96,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
97,duckduckgo,Greta Thunberg,Greta Thunberg is an &#x27;ignorant brainwashed child being abused by adults ...,https://metro.co.uk/2019/04/25/greta-thunberg-ignorant-brainwashed-child-abused-adults-says-corbyns-brother-9315481/,Schoolgirl environmental activist Greta Thunberg has been described as suffering &#x27;mental abuse by manipulative adults&#x27; by Jeremy Corbyn&#x27;s brother. Piers Corbyn,,
98,duckduckgo,Greta Thunberg,Marc Morano: Greta Thunberg spouts nonsense,,,,
99,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s &#x27;zero-carbon&#x27; yacht trip won&#x27;t save ANY emissions as a ...,https://www.thesun.co.uk/news/9739595/greta-thunbergs-carbon-free-yacht-trip-flights/,GRETA Thunberg&#x27;s high-profile &quot;eco&quot; crossing of the Atlantic hit choppy waters tonight when it was revealed a crew will have to FLY to New York to bring her boat back. The Swedish climate activist,,
100,duckduckgo,Greta Thunberg,Greta Thunberg Highest-Paid Activist in the World - Mediamass,https://en.mediamass.net/people/greta-thunberg/highest-paid.html,It&#x27;s been a rough year for the activist,,
103,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
104,duckduckgo,Greta Thunberg,Greta Thunberg: The teenage eco-activist who took the world by storm ...,https://www.dw.com/en/greta-thunberg-the-teenage-eco-activist-who-took-the-world-by-storm/a-50018055,Greta Thunberg: The teenage eco-activist who took the world by storm Now the teenage activist is set to sail across the Atlantic in a climate-neutral yacht. The morning of August 20,,
105,duckduckgo,Greta Thunberg,Greta Thunberg: 6 things to know about the climate change activist,https://www.usatoday.com/story/news/politics/2019/09/18/greta-thunberg-6-things-know-climate-change-activist/2358463001/,Sep-18,,
106,duckduckgo,Greta Thunberg,Opinion | The Problem With Greta Thunberg&#x27;s Climate Activism - The New ...,https://www.nytimes.com/2019/08/02/opinion/climate-change-greta-thunberg.html,Aug-02,,
107,duckduckgo,Greta Thunberg,Greta Thunberg is a &#x27;brainwashed&#x27; child,,,,
108,duckduckgo,Greta Thunberg,If Greta Thunberg worries about end of the world,,,,
109,duckduckgo,Greta Thunberg,Quote of the Week: Greta Thunberg claims to be able to &quot;see&quot; carbon ...,https://wattsupwiththat.com/2019/05/02/quote-of-the-week-greta-thunberg-claims-to-be-able-to-see-carbon-dioxide-in-the-air/,Greta Thunberg in front of the Swedish parliament in Stockholm,,
110,duckduckgo,Greta Thunberg,Wie lächerlich ist Greta Thunberg? | PI-NEWS,http://www.pi-news.net/2019/08/wie-laecherlich-ist-greta-thunberg/,Greta Thunberg,,
111,duckduckgo,Greta Thunberg,Greta Thunberg and &#x27;Flight Shame&#x27; Fuel a Carbon Offset Boom - Bloomberg,https://www.bloomberg.com/news/articles/2019-08-10/greta-thunberg-and-flight-shame-fuel-a-carbon-offset-boom,Aug-10,,
113,duckduckgo,Greta Thunberg,You can track Greta Thunberg as she sails across the high seas,https://mashable.com/article/greta-thunberg-sail-ocean-climate/,Greta Thunberg is bound for the high seas. On August 14 the teenage climate activist set sail from Britain to New York City aboard the Malizia II,,
114,duckduckgo,Greta Thunberg,Greta Thunberg Joined A Walkout At The First Major Summit Of The ...,https://www.buzzfeednews.com/article/lesterfeder/greta-thunberg-fridays-for-future-school-strike-for-climate,Greta Thunberg Joined A Walkout At The First Major Summit Of The Movement She Inspired. Thunberg was among a group of young activists who protested over a disagreement about the Fridays for Future movement&#x27;s demands.,150,
115,duckduckgo,Greta Thunberg,Cos&#x27;è la sindrome di Asperger,,,,
116,duckduckgo,Greta Thunberg,Cramped and basic: Greta Thunberg&#x27;s voyage to New York,https://news.yahoo.com/cramped-basic-greta-thunbergs-voyage-york-163315047.html,Facing two weeks at sea,,
117,duckduckgo,Greta Thunberg,You Are Stealing Our Future: Greta Thunberg,,,,
118,duckduckgo,Greta Thunberg,The problem with Greta Thunberg&#x27;s sea crossings - blogs.spectator.co.uk,https://blogs.spectator.co.uk/2019/08/the-problem-with-greta-thunbergs-sea-crossings/,Thunberg and her family may argue that Greta&#x27;s presence at these conferences will inspire others to become more climate-friendly but the fact is that without Thunberg&#x27;s celebrity,,
