result #,search engine,query,article title,article url,article description,total nr of results (best guess),
91,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s zero carbon journey: &#x27;I might feel a bit seasick ...,https://www.bbc.co.uk/news/av/science-environment-49331885/greta-thunberg-s-zero-carbon-journey-i-might-feel-a-bit-seasick,Climate change activist Greta Thunberg will spend two weeks travelling across the North Atlantic on a boat with no toilets,,
92,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
93,duckduckgo,Greta Thunberg,Greta Thunberg nominated for Nobel Peace Prize for climate activism ...,https://www.bbc.com/news/world-europe-47568227,Greta Thunberg,,
94,duckduckgo,Greta Thunberg,Greta Thunberg: Why I began the climate protests that are going global ...,https://www.newscientist.com/article/mg24132213-400-greta-thunberg-why-i-began-the-climate-protests-that-are-going-global/,The roots of this phenomenon run back to Greta Thunberg,,
95,duckduckgo,Greta Thunberg,Greta Thunberg GIFs - Find &amp; Share on GIPHY,https://giphy.com/search/greta-thunberg/,Find GIFs with the latest and newest hashtags! Search,,
96,duckduckgo,Greta Thunberg,Greta Thunberg: aktuelle News &amp; Infos - t-online.de,https://www.t-online.de/themen/greta-thunberg,Alle aktuellen News zum Thema Greta Thunberg sowie Bilder,,
99,duckduckgo,Greta Thunberg,&#x27;How dare you&#x27;: Greta Thunberg tears into world leaders over inaction ...,https://news.yahoo.com/greta-thunberg-un-climate-speech-how-dare-you-151148559.html,[Greta Thunberg overshadows Trump at U.N. General Assembly] President Trump,,
102,duckduckgo,Greta Thunberg,Greta Thunberg Changes Twitter Bio After Trump Troll,https://www.buzzfeednews.com/article/clarissajanlim/greta-thunberg-twitter-bio-trump,It&#x27;s been a big week for Greta Thunberg: The 16-year-old Swedish activist led the climate march in New York City,,
104,duckduckgo,Greta Thunberg,Greta Thunberg Highest-Paid Activist in the World - Mediamass,https://en.mediamass.net/people/greta-thunberg/highest-paid.html,It&#x27;s been a rough year for the activist,,
106,duckduckgo,Greta Thunberg,Greta Thunberg Covers British Vogue&#x27;s September 2019 Issue - vogue.co.uk,https://www.vogue.co.uk/article/greta-thunberg-vogue-september-2019-issue-cover,Her face,,
108,duckduckgo,Greta Thunberg,Greta Thunberg has collected funds for Antifa-supporting organisation ...,https://voiceofeurope.com/2019/07/greta-thunberg-has-collected-funds-for-antifa-supporting-organisation/,The Swedish climate oracle,,
109,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Transatlantic Sailing Trip Is Seriously Carbon-Neutral ...,https://cleantechnica.com/2019/08/22/greta-thunbergs-transatlantic-sailing-trip-is-seriously-carbon-neutral/,UN Secretary-General António Guterres meets with Greta Thunberg,,
110,duckduckgo,Greta Thunberg,How green is Greta Thunberg&#x27;s transatlantic trip? | UK News | Sky News,https://news.sky.com/story/greta-thunberg-is-her-transatlantic-trip-really-that-green-11784480,Greta Thunberg has set sail for New York,,
111,duckduckgo,Greta Thunberg,Marc Morano: Greta Thunberg spouts nonsense,,,,
112,duckduckgo,Greta Thunberg,Greta Thunberg: The teenage eco-activist who took the world by storm ...,https://www.dw.com/en/greta-thunberg-the-teenage-eco-activist-who-took-the-world-by-storm/a-50018055,Greta Thunberg: The teenage eco-activist who took the world by storm Now the teenage activist is set to sail across the Atlantic in a climate-neutral yacht. The morning of August 20,,
113,duckduckgo,Greta Thunberg,The cult of Greta Thunberg | Watts Up With That?,https://wattsupwiththat.com/2019/04/22/the-cult-of-greta-thunberg/,Greta Thunberg in front of the Swedish parliament in Stockholm,,
114,duckduckgo,Greta Thunberg,Greta Thunberg is an &#x27;ignorant brainwashed child being abused by adults ...,https://metro.co.uk/2019/04/25/greta-thunberg-ignorant-brainwashed-child-abused-adults-says-corbyns-brother-9315481/,Schoolgirl environmental activist Greta Thunberg has been described as suffering &#x27;mental abuse by manipulative adults&#x27; by Jeremy Corbyn&#x27;s brother. Piers Corbyn,,
116,duckduckgo,Greta Thunberg,Wie lächerlich ist Greta Thunberg? | PI-NEWS,http://www.pi-news.net/2019/08/wie-laecherlich-ist-greta-thunberg/,Greta Thunberg,,
117,duckduckgo,Greta Thunberg,The problem with Greta Thunberg&#x27;s sea crossings - blogs.spectator.co.uk,https://blogs.spectator.co.uk/2019/08/the-problem-with-greta-thunbergs-sea-crossings/,Thunberg and her family may argue that Greta&#x27;s presence at these conferences will inspire others to become more climate-friendly but the fact is that without Thunberg&#x27;s celebrity,,
118,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
119,duckduckgo,Greta Thunberg,Quote of the Week: Greta Thunberg claims to be able to &quot;see&quot; carbon ...,https://wattsupwiththat.com/2019/05/02/quote-of-the-week-greta-thunberg-claims-to-be-able-to-see-carbon-dioxide-in-the-air/,Greta Thunberg in front of the Swedish parliament in Stockholm,,
120,duckduckgo,Greta Thunberg,Greta Thunberg and &#x27;Flight Shame&#x27; Fuel a Carbon Offset Boom - Bloomberg,https://www.bloomberg.com/news/articles/2019-08-10/greta-thunberg-and-flight-shame-fuel-a-carbon-offset-boom,Aug-10,,
